apm_code,data
01961,"6th century BC, d 055 (mm), fragment leech fibula, -600/-500, Call Nr:APM01961, fragment leech fibula, metal, object, ornament, bracket of leech fibula; decoration incised lines; hollow; gray green patina, bronze material, incision, Italy, Italy (presumably), Allard Pierson Archaeological Collection, -600, -500, prehistoric Italic,"
01962,"8th-7th century BC, h 117 (mm), amphora, -800/-600, Call Nr:APM01962, amphora, pottery, object, vessel, small wide-necked amphora; ears quite angular, from lip to on shoulder, groups of concentric circles on neck and shoulder, bundle of 5 narrow horizontal bands around the waist, a broad band below, ground bright red, Algemeene Gids 181, Corpus Vasorum Antiquorum I. IICb, pl 4:7, vg Myres , Cesnola coll. p.105, pottery material, Cyprus, Allard Pierson Archaeological Collection, -800, -600, Greek Greek, geometric, "
04170,"prehistoric or earlier, d 034 (mm), knife, microlith, -3000, Call Nr:APM04170, knife, microlith, utensil, object, stone, microlith; narrow dark knife; back to both sides by turn sharp, see front inv card: drawing from 3 sides by N Shirai, July 21, 2004, exit, flint material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, type XIVb,"
04171,"prehistoric or earlier, d 022 (mm), knife, microlith, -3000, Call Nr:APM04171, knife, microlith, utensil, object, stone, microlith; narrow dark knife; back to both sides by turn sharp, see front inv card: drawing from 3 sides by N Shirai, July 21, 2004, exit, flint material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, type XIVb,"
04172,"prehistoric or earlier, d 025 (mm), knife, microlith, -3000, Call Nr:APM04172, knife, microlith, utensil, object, stone, microlith; narrow dark knife with convex curved sides and thus pointed ends; behind to both sides by exit sharp, see front inv.card: drawing from 3 sides by N Shirai, July 21, 2004, exit, flint material, Egypt: Fayoem, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, type XIVb, "
04173,"prehistoric or earlier, d 023 (mm), knife, microlith, -3000, Call Nr:APM04173, knife, microlith, utensil, object, stone, microlith; narrow knife with convex curved sides and thus pointed ends; back to sharp on both sides by exit, see front inv. card: drawing from 3 sides by N Shirai, July 25, 2004, exit, flint material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, type XIVb,"
04222,"d 030 (mm), exit, microlith, Call Nr:APM04222, exit, microlith, utensil, object, stone, microlith, back worked on one side, see on inv. card: drawing from 4 sides by N Shirai, July 27 2004, Exit, Flint Material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, Egyptian Egyptian, Type XIVa,"
04206,"d 067 (mm), chisel, Call Nr:APM04206, chisel, utensil, object, stone, chisel, flat, worked on all sides, see back of inv. card: drawing from 3 sides by N Shirai, Sep 2 2004, Exit, Flint Material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, Egyptian Egyptian, Type V,"
04143,"prehistoric or earlier, d 085 (mm), saw blade, -3000, Call Nr:APM04143, saw blade, utensil, object, stone, sickle flint; pointed leaf blade with a serrated or toothed side: saw; type IV, see back inv card: drawing of 3 sides by N Shirai, Aug 30, 2004, exit, flint material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, type IV,"
04145,"prehistoric or earlier, d 052 (mm), saw blade, -3000, Call Nr:APM04145, saw blade, utensil, object, stone, sickle flint; c. wedge-shaped blade with a serrated or serrated edge; type IV, see reverse inv.map: Drawing from 3 sides by N Shirai, July 23, 2004, Exit, Flint Material, Egypt; Fayoem, Egypt, Allard Pierson Archaeological Collection, -3000, Egyptian Egyptian, Type IV,"
