apm_code,data
1961,6th century bc mm fragment leech fibula -600/-500 call nr apm01961 fragment leech fibula metal object ornament bracket leech fibula decoration incised lines hollow gray green patina bronze material incision italy italy presumably allard pierson archaeological collection -600 -500 prehistoric italic
1962,8th-7th century bc h mm amphora -800/-600 call nr apm01962 amphora pottery object vessel small wide-necked amphora ears quite angular lip shoulder groups concentric circles neck shoulder bundle narrow horizontal bands around waist broad band ground bright red algemeene gids corpus vasorum antiquorum i. iicb pl 4:7 vg myres cesnola coll p.105 pottery material cyprus allard pierson archaeological collection -800 -600 greek greek geometric
4170,prehistoric earlier mm knife microlith -3000 call nr apm04170 knife microlith utensil object stone microlith narrow dark knife back sides turn sharp see front inv card drawing sides n shirai july exit flint material egypt fayoem egypt allard pierson archaeological collection -3000 egyptian egyptian type xivb
4171,prehistoric earlier mm knife microlith -3000 call nr apm04171 knife microlith utensil object stone microlith narrow dark knife back sides turn sharp see front inv card drawing sides n shirai july exit flint material egypt fayoem egypt allard pierson archaeological collection -3000 egyptian egyptian type xivb
4172,prehistoric earlier mm knife microlith -3000 call nr apm04172 knife microlith utensil object stone microlith narrow dark knife convex curved sides thus pointed ends behind sides exit sharp see front inv.card drawing sides n shirai july exit flint material egypt fayoem egypt allard pierson archaeological collection -3000 egyptian egyptian type xivb
4173,prehistoric earlier mm knife microlith -3000 call nr apm04173 knife microlith utensil object stone microlith narrow knife convex curved sides thus pointed ends back sharp sides exit see front inv card drawing sides n shirai july exit flint material egypt fayoem egypt allard pierson archaeological collection -3000 egyptian egyptian type xivb
4222,mm exit microlith call nr apm04222 exit microlith utensil object stone microlith back worked one side see inv card drawing sides n shirai july exit flint material egypt fayoem egypt allard pierson archaeological collection egyptian egyptian type xiva
4206,mm chisel call nr apm04206 chisel utensil object stone chisel flat worked sides see back inv card drawing sides n shirai sep exit flint material egypt fayoem egypt allard pierson archaeological collection egyptian egyptian type v
4143,prehistoric earlier mm saw blade -3000 call nr apm04143 saw blade utensil object stone sickle flint pointed leaf blade serrated toothed side saw type iv see back inv card drawing sides n shirai aug exit flint material egypt fayoem egypt allard pierson archaeological collection -3000 egyptian egyptian type iv
4145,prehistoric earlier mm saw blade -3000 call nr apm04145 saw blade utensil object stone sickle flint c. wedge-shaped blade serrated serrated edge type iv see reverse inv.map drawing sides n shirai july exit flint material egypt fayoem egypt allard pierson archaeological collection -3000 egyptian egyptian type iv
15290,predynastic egypt h mm vase -3300 call nr apm15290 vase earthenware object vessel vase narrow-necked egg-shaped red polished ware cva den haag pays bas eol annual report h. kayser äg kunsthandwerk ss. fig pottery material egypt badari grave egypt allard pierson archaeological collection -3300 egyptian egyptian
4162,prehistoric earlier mm chisel -3000 call nr apm04162 chisel utensil object stone triangular chisel see back inv card drawing sides n shirai aug exit flint material egypt fayoem egypt allard pierson archaeological collection -3000 egyptian egyptian t.xiii
4218,mm arrowhead call nr apm04218 arrowhead object stone weapon arrowhead concave base see back inv card drawing sides n shirai sep exit stone material flint material egypt fayoem egypt allard pierson archaeological collection egyptian egyptian type xiiia
4164,prehistoric earlier mm chisel -3000 call nr apm04164 chisel utensil object stone triangular chisel base side straight shorter see front inv card drawing sides n shirai sept. exit flint material egypt fayoem egypt allard pierson archaeological collection -3000 egyptian egyptian type xiiie
4219,mm arrowhead call nr apm04219 arrowhead object stone weapon arrowhead concave base one wing broken see back inv.card drawing sides n shirai sep exit flint material egypt fayoem qasr el sagha egypt allard pierson archaeological collection egyptian egyptian type xiiia
3974,predynastic earlier mm necklace +pendant -3000 call nr apm03974 necklace +pendant object organic pottery stone jewellery necklace various beads shell faience carnelian bone stone shell pendant miscellaneous material egypt badari egypt allard pierson archaeological collection -3000 egyptian egyptian
3863,archaic period dynasty 1-2 h mm pendant plate -3000/-2670 call nr apm03863 pendant plate object organic jewellery rectangular smooth plate short side small rectangular projection hole pendant tag presumably ivory material egypt abydos egypt allard pierson archaeological collection -3000 -2670 egyptian egyptian
12637,predynastic earlier h mm x w mm ball pot -3000 call nr apm12637 ball pot pottery utensil object ball pot 'polished ware pottery material egypt egypt allard pierson archaeological collection -3000 egyptian egyptian
12720,predynastic earlier h mm x w mm shape type unknown -3000 call nr apm12720 shape type unknown earthenware object dishware cylindrical wavy-handled vase painted imitation cross rope pottery material egypt egypt allard pierson archaeological collection -3000 egyptian egyptian
15276,predynastic egypt negadeh ii h mm x w mm vase pitcher -3300/3000 call nr apm15276 vase pitcher earthenware vessel object vase pitcher egg-shaped curved neck horizontal scalloped ears wavy-handled cva den haag pays bas no.3 eol annual report no.14 h.kayser äg kunsthandwerk pict .75 pottery material egypt abydos egypt allard pierson archaeological collection -3300 egyptian egyptian
3943,predynastic earlier h mm x w mm bowl -3000 call nr apm03943 bowl earthenware object vessel wide bowl outside slightly convex round bottom baked askew corpus vasorum antiquorum ii ia pl 2:9 annual report ex oriente lux p.96 vhaarlem pottery material egypt badari egypt allard pierson archaeological collection -3000 egyptian egyptian
3858,archaic period dynasty 1-2 h mm xd mm lion -3000/-2670 call nr apm03858 lion utensil bijou game object organic reclining lion erecter van spel probably allard pierson announcements 111/112 p.14 pic.13 general guide egypt eender en anders guide egypt section pic announcements vd vereniging van vrienden vh apm fig egypt gift vd nile ra lunsingh scheurleer fig ivory material sculpture egypt abydos egypt allard pierson archaeological collection -3000 -2670 egyptian egyptian
12676,predynastic earlier h mm x w mm palette face paint -3000 call nr apm12676 palette face paint utensil object organic oblong face paint palette falcon heads worn shell material egypt egypt allard pierson archaeological collection -3000 egyptian egyptian
12678,predynastic earlier h mm x w mm palette face paint -3000 call nr apm12678 palette face paint utensil object organic diamond-shaped face paint palette announcements vd vrienden vh allard pierson museum 2-7 fig shell material egypt egypt allard pierson archaeological collection -3000 egyptian egyptian
4044,predynastic earlier h mm x w mm vase -3000 call nr apm04044 vase earthenware object vessel conical pot wide mouth narrow base black red corpus vasorum antiquorum ii ib 1/7 egypt eender en anders 56/73 guide egypt section pl annual report ex oriente lux allard pierson announcements 111/ p.13 fig pottery material egypt qau el-kebir egypt allard pierson archaeological collection -3000 egyptian egyptian black-topped
15999,predynastic egypt h mm male -3200 call nr apm15999 male human figure object organic figure man beard carved ivory hippopotamus presumably eyes originally inlaid future past robert lunsingh scheurleer p.30 pic p.31 announcements association friends vh apm p.3 pic.3 carved ivory material egypt egypt allard pierson archaeological collection -3200 egyptian egyptian
16476,1500-1000 bc h mm vase -1500/-1000 call nr apm16476 vase pottery object vessel pear-shaped vase two horizontal pierced ears decorated ware painted brownish red vertical bands within zigzag stripes spiral bottom bottom. pottery material egypt allard pierson archaeological collection -1500 -1000 egyptian egyptian egyptian
15302,"bc h mm x w mm x mm sitting baboon -3000 call nr apm15302 sitting baboon pottery animal figure object sitting baboon frontal front legs knees communications association friends vh apm fig.5 ex oriente lux annual report nr.16 flinders petrie abydos ii pl.vi x xi h.kayser aeg kunsthandwerk pic,131 faience material egypt abydos allard pierson archaeological collection -3000 egyptian egyptian"
