,data
0,www allardpiersonmuseum nlcrossroads runic graffito hagia sophia gilt byzantine helmet grave frankish nobleman trea sure hidden vikings low countries containing arab dirham exam ples telling early medieval finds book late antiquity early middle ages often viewed time decline chaos invasions war another side period well rich diversity cultures europe longo bards merovingians byzantines avars lively exchange goods ideas sometimes great distances vikings set trade network reached baghdad silk road brought commodities europe also diplomatic missions knowledge ideas illustrated interludes book stories ten travellers pilgrims scholars diplomats elephant despite numerous conflicts period ad also one growth continuity peaceful coexistence late eighteenth century romantic view middle ages arose resulting gothic revival art pre raphaelites nation states today happily refer heroism early middle ages king doms born present day europe began take shape travelling middle ages travelling middle ages cross roads
1,www allardpiersonmuseum nlcrossroads runic graffito hagia sophia gilt byzantine helmet grave frankish nobleman trea sure hidden vikings low countries containing arab dirham exam ples telling early medieval finds book late antiquity early middle ages often viewed time decline chaos invasions war another side period well rich diversity cultures europe longo bards merovingians byzantines avars lively exchange goods ideas sometimes great distances vikings set trade network reached baghdad silk road brought commodities europe also diplomatic missions knowledge ideas illustrated interludes book stories ten travellers pilgrims scholars diplomats elephant despite numerous conflicts period ad also one growth continuity peaceful coexistence late eighteenth century romantic view middle ages arose resulting gothic revival art pre raphaelites nation states today happily refer heroism early middle ages king doms born present day europe began take shape travelling middle ages travelling middle ages cross roads
2,travelling middle ages ad 1000cross roads
3,joint publication allard pierson museum amster dam partners cemec project connecting early medieval european collections museum partners cobbra museum consortium published alongside exhibition crossroads ravelling middle ages allard pierson museum september february byzantine christian museum athens lvr landesmuseum bonn partners allard pierson museum amsterdam university amsterdam lvr landesmuseum bonn university bonnhungarian national museum budapest eötvös lóránd university budapest byzantine christian museum athens consiglio nazionale delle ricerche itabc rome museo nazionale dell alto medioevo rome university institute iberian archaeology jaén museum jaén university college dublin national museum irelandashmolean museum oxford ny carlsberg glyptotek copenhagen royal museums art history brussels den kennisinstituut digitale cultuur hague e v c rome noho dublinfraunhofer igd darmstad moobels hilversum sponsors exhibition crossroads ravelling middle ages sponsored creative europe programme european union creative europe eacea agency mondriaan fund prins bernhard cultuurfonds friends allard pierson museum loans byzantine christian museum athens hungarian national museum budapest koninklijke bibliotheek hague leiden university libraries limburgs museum venlo lvr landesmuseum bonn museo de jaén junta de andalucía museum catharijneconvent utrechtrijksmuseum amsterdam legaat van de heer en mevrouw oosterbaan lugt heemstede rijksmuseum van oudheden leidenroyal museums art history brussels stichting weg van de vikingen den oever nederland tresoar buma bibliotheek leeuwarden universiteitsbibliotheek universiteit utrecht
4,editorial board maria bormpoudaki marieke van den doel wim hupperetz faidra kalafatilindsay morehouse lynda mulvin michael schmauderauthors david abulafiaeva maria alcázar hernández maria bormpoudaki britt claes aikaterini dellaporta raymond detrez marieke van den doel peter heatherwim hupperetz irene montilla torres lindsay morehouse marco mostert lynda mulvin elke nieveler robin oomkes alfonsina pagano anna pianaltoeva pietroni zsófia rácz kianoosh rezania barbara roggema tineke rooijakkers helen saradi alexander sarantismichael schmauder vicente salvatierra gergely szenthe matthias toplak marlena whitingcross roads travelling middle ages ad
5,contents diversity introduction lindsay morehouse constantine great charlemaigne post roman west ad peter heather traveller abul abbas charlemagne elephant robin oomkes longobards lower elbe italy michael schmauder byzantine empire eastern perspective ad aikaterini dellaporta maria bormpoudaki anna pianalto traveller theophano byzantine princess rustic west robin oomkesthe sassanid empire rise islam ad kianoosh rezania al andalus early middle ages vicente salvatierra irene montilla torres traveller hasday ibn shaprut jewish scholar caliph court irene montilla torres late antique egypt tineke rooijakkers traveller egeria observant pilgrim holy land marlena whiting ireland europe tranmission celtic aesthetic early middle ages lynda mulvinbetween north atlantic black sea viking age kievan rus matthias toplak traveller ahmad ibn fadlan risala arab diplomat travelogue matthias toplak frankish kingdom hub western europe britt claes elke nieveler traveller st martin tours soldier christ robin oomkes slavs franks byzantines raymond detrezpreface crossroads travelling europe ad wim hupperetz lynda mulvin michael schmauder i6
6,iiiiithe avar period carpathian basin zsófia rácz gergely szenthe connectivity introduction lindsay morehouse heritage rome rise byzantine empire helen saradi traveller st helena christianisation roman empire robin oomkes mediterranean collapse revival ad david abulafia three monotheistic religions jews christians muslims late antiquity early middle ages barbara roggema traveller sigeric serious archbishop dangerous times eva maria alcázar hernández warfare europe ad alexander sarantis traveller olympiodorus thebes diplomat parrot robin oomkesknowledge scholarship science europe ad marco mostert traveller ohthere north becomes part europe marco mostert identity shifting attitudes medieval europe lynda mulvin early medieval europe today introduction lindsay morehouse middle ages thousand years marieke van den doel early medieval europe modern museum presentation wim hupperetz stories beyond objects case kunágota sword eva pietroni alfonsina pagano information furter reading authors biographies illustration credits colophon11
8,7preface international crossroads project connects european cultural heritage emerged ad project different narrative contexts explored terms continuity change entanglement taking consideration effects converging pagan christian influences transition made pre dominantly christian society transformed early middle ages exhibition presented specially selected museum objects displayed thematically differ ent media interactive interpretative mapping tool cross culture timeline never many people adrift around europe time hand migrations cli mate change emerging religious communities shifting markets fact well known phenomena romanticise past develop ments looking past help us put chal lenges perspective incite us open different perspectives distinguish brings us core project diversity connectivity publication crossroads exhibition different regional identities development time space come fore early medieval society diverse multilayered constantly changing complex world full energy ambition see people looking support safety trading contacts expertise know ledge fortune booty one way another peo ple connected stories travellers book illustrate con nectivity early middle ages travellers way embody curiosity driving force muse ums collections visitors staff travelling place time shows us diverse societies hopefully keeps us curious major european exhibition part connecting early medieval european collections cemec project funded creative europe programme european union creative europe eacea agency want thank lenders exhibition part ners project authors publication members editorial board support input exhibition team designers shaped evocative exhibition publication cooperation support show new per spective part european history hope power diversity connec tivity two themes exhibition publi cation provide diverse perspectives means grow respect strive peace publication volume allard pierson museum series published cooperation wbooks crossroads realised help mondriaan fund prins bernhard cultuurfonds friends allard pierson museum crossroads also second result collaboration tween number european museums sharing dna partners cobbra network copenha gen oxford bonn brussels amsterdam keep working together exchanging expertise colleagues collections organising travelling exhibitions show respect ancient medieval world well relevance wim hupperetz director allard pierson museum medieval world map map 2th century manu script etymologies isidore seville c ad see p world represented circle divided three continents shaped sea asia europe africa preface
9,crossroadsthis publication presents early middle ages period transformation cultural exchange reflected development different regional cul tures europe ireland mediterranean baltic greece spain overarching themes connectivity diversity give shape individual elements heritage ancient roman em pire effects travel impact war rep resentation identity connection know ledge faith jewish christian muslim groups coex isted reflecting cohesive nature europe early middle ages fourth eighth century external forces caused reshaping roman empire signifi cantly huns appeared east causing great social upheaval germans move well en tering roman empire west playing important role empire internal conflicts caused destabilisation decades migration recon figured old west roman empire created fright ening momentum successive waves horsemen east rolling east roman byzantine empire lost productive fertile provinces egypt syria palestine arab armies start spectacular west ward advance islam blocked ends europe franks poitiers byzantines constantinople north see around north sea baltic sea trading networks began crossroads travelling europe ad wim hupperetz lynda mulvin michael schmauder mudejar style following umayyad conquest hispania al andalus became one leading cultural economic centres europe mediterranean islamic world real alcazar royal palace seville spain built fort abd al rahman iii site former roman visigoth forts later developed palace 1th 3th centuries built called mudejar style combination arab euro pean architecture listed unesco world heritage site green marble column corinthian capital roman period main courtyard real alcazar seville spolia palatine chapel aachen built charlemagne model contemporary byzantine buildings original carolingian throne came spolia spoils war church holy sepul chre jerusalem upper gallery openings divided ancient roman columns earlier reused church cologne charlemagne spolia brought aachen rome ravenna
11,crossroadsto establish sixth century onward many centralised markets emerged exotic items travel ling europe reflecting amazingly wide ex change networks ninth tenth century europe rebalanced several ways period showed turmoil migra tions ended patchwork polities led era state formation western europe concept early middle ages course western euro pean concept reflect eastern part roman empire continued flourish showed remarkable resilience deeply influenced european history archaeological evidence material culture period try envisage intriguing sometimes astonishing recovery societies com munities age change crossroads exhibition travel cites europe well ex plores different narrative contexts relating aspects continuity change entanglement taking consideration effects converging pagan christian influences transition made full christian society transformed early mid dle ages exhibition presented different media specially selected museum objects exhibited thematically combined mapping objects digital panoramic timeline interactive inter pretative tool general rule roman empire synonymous homogeneous graeco roman culture characterised distinct administrative structures highly developed infrastructure latin official language spoken empire connective element across vast landscape long distance trade necklace found mecken heim germany testifies long distance trade interspersed glass beads ber beads baltic bead shell thorny oyster spondylus gaederopus aegean thorny oysters traded europe early late neolithic c bc glass amber copper alloy thorny oyster meckenheim germany ad syncretism late antiquity early mid dle ages rituals symbols various religions freely com bined new forms often find surprising sometimes syncretism conscious effort usually grew organically daily practice worshippers rarely problems coptic textile christogram xp chr greek inside egyptian ankh symbol life linen wool purple dye x cm 4th 5th cent ad egypt
12,crossroads travelling europe ad 1000migration early middle ages period migration longo bards move europe several centuries huns appeared europe first half 5th century followed avars c avars drove longobards italy extorted tribute byzantine empire made alliance sassanids attacked constan tinople failed take city avars lost dominant position became mere gional power gold short stemmed cup avar male grave found bócsa hungary h cm ad blue qur blue qur one famous works islamic calligraphy dating late 9th early 10th century writ ten gold decorated silver vellum calfskin parchment coloured indigo probably emulating purple parchment used byzantine imperial manu scripts 7th century much eastern mediterranean middle east conquered arab armies followed trade communication routes totally different standard image early middle ages called dark ages really dark one key questions exhibition crossroads travelling europe ad also asks questions regarding aspects diversity regionalism whether connecting ele ments period impact unifying content identified form ten exemplary travellers migrated moved around europe ohthere gave matter fact account travels north cape kola peninsula ireland theophano byzantine princess came west marry ottonian
13,crossroadsem peror ibn fadlan arab diplomat left us unrivalled report culture steppe peoples ancient russia journeys provide connections within vast land mass europe tales pil grims scholars merchants delineate routes adventures bringing life reality travel early middle ages ad jewish merchant isaac returned court caliph harun al rashid baghdad two year journey bringing elephant palatinate charlemagne aachen baghdad rule abbasid dynasty ad one important cultural centres world aristotle works logic ancient works classical greek byzantine greek pahlavi new persian syriac translated arabic francia carolingian renaissance flourishing renovatio antique heritage constantinople time empress irene power byzantine chronicler theophanes ad tells us charlemagne coronation emperor intended marry irene planned marriage charlemagne daughter rotrude irene son constantine failed result empire charlemagne would accepted east validity theophanes narration ques tionable demonstrates close communica tion ruling empires east west time hidden treasure carolingian hoard coins fibulae belt end bead discovered muizen near mechelen belgium may buried vikings sailed flemish rivers muizen far leuven frankish army led arnulf carinthia defeated vikings one coins hoard arab dirham silver c ad hidden treasure carolingian hoard coins fibulae belt end bead discovered muizen near mechelen belgium may buried vikings sailed flemish rivers muizen far leuven frankish army led arnulf carinthia defeated vikings one coins hoard arab dirham silver c ad
