,data
0,eeuwig egypte
1,allard pierson museum ben van den bercken willem van haarlem met bijdragen van h willems huygem j ravenf choëlk innemée
2,eeuwig egypte
3,deze uitgave van het allard pierson museum gepubliceerd aansluitend bij de tentoonstelling eeuwig egypte experience van juli tot en met januari tentoonstelling en publicatie zijn het resultaat van een nauwe samenwerking tussen het allard pierson museum bibliotheca alexandrina cultnat het nederlands vlaams instituut caïro nvic en de nederlandse organisatie voor wetenschappelijk onderzoek nwo sponsors tentoonstelling en publicatie kwamen mede tot stand dankzij de genereuze steun van djoser reizen de vereni ging van vrienden van het allard pierson museum en de universiteit van amsterdam caïro sinaï wadi koebbaniya
4,8inhoud voorwoord chronologie prehistorisch egypte v chr ben van den bercken klimaat en klimaatverandering religie en magie materiële cultuur sociale organisatie opgraving rotskunst bij el hosj en qoerta de predynastische en vroegdynastische tijd v chr willem van haarlem materiële cultuur religie schrift koningschap opgraving tell ibrahim awad het oude rijk en de eerste tussenperiode v chr willem van haarlem religie literatuur koningschap materiële cultuur opgraving el kab het middenrijk en de tweede tussenperiode 1550v chr willem van haarlem literatuur materiële cultuur religie koningschap opgraving deir el bersjeh het nieuwe rijk en de derde tussenperiode v chr willem van haarlem koningschap religie materiële cultuur opgraving sakkara6 de late tijd v chr ben van den bercken materiële cultuur religie koningschap onderdak en eten de ptolemaeïsche periode v chr ben van den bercken koningschap religie ptolemaeïsch alexandrië materiële cultuur opgraving smouha alexandrië de romeinse periode v chr n chr ben van den bercken materiële cultuur religie koningschap de familie romeins egypte opgraving kellis koptisch egypte willem van haarlem kloosters en monniken taal schrift en literatuur materiële cultuur opgraving deir el baramoes islamitisch egypte ben van den bercken egyptologie en egypto manie ben van den bercken begrippenlijst verder lezen beeldverantwoording nederlands vlaams instituut colofon
5,eeuwig egypte eeuwig egypte verwijst naar de fascinerende egyptische geschiedenis die verder gaat dan de stereotype farao en mummies deze publicatie staat de lange geschie denis van egypte centraal van de vroegste prehistorie v chr tot de moderne koptische en islamitische tijd bieden de lezer een overzicht van de rijke egypte collectie van het allard pierson museum van het archeo logisch onderzoek dat egypte wordt gedaan door neder landse en vlaamse universiteiten en van de eeuwenoude egyptische cultuur de archeologische collectie van het museum toont de spirerende en veelzijdige geschiedenis van egypte vanaf de prehistorie tot en met de vroege middeleeuwen het archeologisch onderzoek ter plaatse levert al jarenlang ver rassende nieuwe perspectieven op niet de laatste plaats markeert deze publicatie dan ook het onderzoek dat het allard pierson museum al meer dan twintig jaar uitvoert tell ibrahim awad onder leiding van conservator drs willem van haarlem wie aan egypte denkt denkt nog niet altijd automatisch aan prehistorische rotsinscripties een grieks koningshuis van de ptolemaeën romeinse tempels koptische kloosters maar dat zal na lezing van deze publicatie en het zien van de bijbehorende tentoonstelling zeker veranderen dat met name te danken aan het nederlands vlaams instituut caïro nvic het vernieuwende onderzoek dat al jarenlang vanuit dit instituut wordt gefaciliteerd een geweldige en onmisbare stimulans geweest de samenwerking tussen het allard pierson museum en het nederlands vlaams instituut cruciaal en komt ook tot uitdrukking deze publica tie en tentoonstelling willen met name de directeur dr rudolf de jong en adjunct directeur dr andre veld meijer graag bedanken voor hun steun en hulp de publicatie eeuwig egypte en de bijbehorende tentoon stelling eeuwig egypte experience zijn tevens het resultaat van een nauwe samenwerking met bibliotheca alexandrina cultnat waarbij met name de samenwerking met plaatsver vangend directeur mohamed farouk erg belangrijk de tentoonstelling werd samengesteld door drs willem van haarlem die samen met ben van den bercken ook verantwoordelijk voor de begeleidende publicatie voor dit project zijn de meest recente inzichten rondom egypte gepresenteerd waarbij dankbaar gebruik werd ge maakt van de onderzoekresultaten van de opgravingen die egypte plaatsvinden onder de auspiciën van het nvic grote dank gaat uit naar de onderzoekers dr dirk huyge qoerta en el kab drs willem van haarlem tell ibrahim awad prof dr harco willems deir el bersjeh prof dr maarten raven sakkara prof dr olaf kaper dachla kellis marie cécile bruwier en francis choël smouha en dr karel innemée deir el baramoes die de bezoeker van de tentoonstelling en de lezer van deze publi catie hun schouder laten meekijken en zo de historische sensatie van het werken egypte voelbaar maken de publicatie eeuwig egypte het derde deel een inmid dels zeer herkenbare en succesvolle reeks publieksboeken van het allard pierson museum die wordt uitgegeven goede samenwerking met wbooks zwolle de coördi natie van de publicatie handen van drs paulien retèl en de eindredactie kwam voor rekening van toon vugts de vertaling van de engelse editie werd verzorgd door dr julia harvey de projectleiding van de tentoonstelling handen van drs marian schilder de publicatie werd vormgegeven door miriam schlick extrablond en de ten toonstelling door conita vermeulen m3 bouwkunst de stuurgroep stond onder voorzitterschap van drs steph scholten directeur uva erfgoed door het noemen van hun namen willen iedereen bedanken die aan de totstandko ming van deze publicatie en tentoonstelling heeft bijgedra gen dit project kon alleen maar gerealiseerd worden dankzij de genereuze steun van djoser reizen en de vereniging van vrienden van het allard pierson museum de vrienden trekken samen met het museum op het vergroten en reali seren van de ambities van het museum en daarvan zijn deze tentoonstelling en publicatie tastbaar bewijs egypte inspireert ons en zal u hopelijk ook inspireren eeuwig egypte laat zien dat de europese cultuurgeschie denis onlosmakelijk verbonden met dit belangrijke erfgoed egypte dr wim hupperetz directeur allard pierson museum voorwoord
6,13chronologiedateringen zijn niet altijd met hon derd procent zekerheid vast te stellen ook blijven er nog altijd twistpunten bovendien kennen sommige perioden en dynastieën een overlap sluiten ze niet exact op elkaar aan v chr prehistorie ca laatpaleolithicum bovenpaleolithicum middenpaleolithicum vroegpaleolithicum ca neolithicum v chr predynastische tijd ca badari4000 3500naqada 1ste dynastie menes3032 v chr vroegdynas tische tijd3200 naqada iii3500 naqada ii 2de dynastie peribsen chasechemwy2707 3de dynastie djoser2707 v chr oude rijk 4de dynastie snofroe cheops chefren mycerinus 7de 8ste dynastie v chr eerste tussenperiode 6de dynastie teti pepi i2504 5de dynastie sahoere nioeserre oenas 11de dynastie werd het land weer verenigd mentoehotep ii2046 v chr middenrijk 12de dynastie amenemhet sesostris i1648 15de 16e dynastie hyksos 13de 14de dynastie v chr tweede tussenperiode v chr nieuwe rijk 19de dynastie ramessidisch seti ramses ii de grote merenptah1550 18de dynastie ahmose thoetmosis hatsjepsoet thoetmosis iii amenhotep iii achnaton toetanchamon horemheb1186 20ste dynastie ramessidisch ramses iii 23ste dynastie 71822ste dynastie libisch sjesjonk osorkon i1070 21ste dynastie smendes psoesennes i1070 v chr derde tussenperiode 24ste dynastie v chr late tijd 25ste dynastie koesjitisch piye sjabaka taharka664 26ste dynastie saïtisch psammetichus necho ii apries amasis 30ste dynastie nectanebo teos nectanebo ii399 29ste dynastie 28ste dynastie 27ste dynastie 1ste perzische overheersing cambyses darius xerxes alexander de grote v chr ptolemaeïsche periode diverse keizers trajanus hadrianus marcus aurelius commodus69 flavische dynastie vespasianus30 v chr n chr julisch claudische dynastie augustus tiberius claudius nero30 v chr n chr romeinse periode severische dynastie n chr byzantijnse periode constantijn theodosius justinianus235 periode van de soldatenkeizers decius valerius galienus diocletianus641 n chr arabische periode ayyoebidische dynastie salah el din saladin fatimidische dynastie el hakim bi amr allah750 abbasidische dynastie ibn toeloen ibn toeghg el ichsjid661 oemayyadische dynastie mamelukken baibars qalawoen1801 turkse onderkoningen mohammed ali ishmail1952 n chr nu republiek egypte nasser sadat moebarak morsi1922 n chr semi onafhan ke lijk koninkrijk foead faroek1882 engels protectoraat1645 17de dynastie sekenenre taä ii kamose ptolemaeïsche dynastie ptolemaeus tot en met ptolemaeus xv en cleopatra vii342 31ste dynastie 2de perzische overheersing darius iii franse bezetting napoleon bonaparte n chr ottomaanse periode osman bey suleyman ii abdülhamid ii2170 9de 10de dynastie
7,eeuwig egypte
8,16prehistorisch egyptezo n jaar geleden kwamen de eerste mensachtigen egypte binnen zij vestigden zich langs de vruchtbare oevers van de rivier de nijl er al sprake van een oernijl tussen en miljoen jaar v chr die stroomde door de westelijke woestijn en vormde de basis voor de huidige nijl de oernijl en de nijl hebben zich langzaam naar het oosten verplaatst daardoor zijn vermoedelijk talloze bewoningssporen van de vroegste mensen op de oostelijke oever vernietigd aan het begin van het plioceen tot miljoen jaar v chr kreeg de nijl waarschijnlijk zijn huidige vorm de rivier wordt gevoed door de kleinere rivieren de atbara de witte nijl verbinding met het victoriameer en de blauwe nijl verbinding met het tanameer de nijl trad periodiek buiten zijn oevers door smeltwater vanuit de gebergtes van midden afrika deze periodieke overstroming zorgde voor de afzetting van vruchtbaar slib maar de nijl kon ook aarde wegspoelen uit de vallei de rivier sleet het landschap waardoor hogere gebieden terrassen ontstonden die zijn belangrijk de archeologische zoektocht naar de eerste bewoners van de nijlvallei net na caïro splitst de nijl zich een aantal rivierarmen die uitmonden de middellandse zee de nijldelta het een vruchtbaar gebied dat vaak ver anderde door het opdrogen en zich verplaatsen van rivier armen maar ook door het ontstaan van nieuwe zijtakken al het faraonische egypte waren er net als nu oases de fayoem oase de bekendste dit lagergelegen gebied het woestijnlandschap wordt aan de noordzijde begrensd door een steile helling en loopt zuidelijke richting langzaam op de fayoem oase wordt gevoed door een zijarm van de nijl die zich afsplitst ter hoogte van het huidige el asjmoenein deze oase werd vooral tijdens het middenrijk en de grieks romeinse perioden een belangrijk landbouwgebied paral lel aan de nijlvallei liggen de westelijke woestijn enkele oases siwa bahariya farafra dachla charga en selima ook deze oases worden vaak aan de noordzijde begrensd door een steile helling en lopen op zuidelijke richting maar tegenstelling tot de fayoem oase worden ze niet door rivier water gevoed maar door artesische bronnen grondwater wordt er door druk omhoog gestuwd vroegpaleolithicum v chr al het vroegpaleolithicum waren er mensen de nijl vallei vuurstenen werktuigen van ongeveer v chr zijn hiervoor het bewijs deze periode wordt gekenmerkt door de productie en het gebruik van bifaciale werktuigen vuurstenen werktuigen die aan twee kanten bewerkt zijn ze zijn waarschijnlijk toe te wijzen aan de mensachtige homo erectus de eerste volledig rechtoplopende mens men ver moedt dat de homo erectus als jager verzamelaar door het gebied trok de werktuigen die gevonden zijn kunnen prehistorisch egypte v chr eeuwig egypte het middenpaleolithicum werden op grote schaal vuur steenklingen gemaakt met de zogenaamde levallois tech niek een techniek die op een iets andere manier ook al het vroegpaleolithicum werd gebruikt van grote vuurstenen kernen konden meerdere van deze klingen worden gesla gen ze konden als een zwitsers zakmes overal voor worden gebruikt en soms werden ze opnieuw bewerkt tot een ander gereedschap deze klingen zijn driehoekig doorsnede en hebben een gladde achterzijde hoogte en cm microlieten letterlijk kleine stenen treffen egypte voor het eerst aan het laatpaleolithicum deze kleine scherpe steentjes werden vaak gemaakt van grotere vuurstenen klin gen die werden opgesplitst daarna konden ze naar believen verder bewerkt worden om nog scherpere randjes te maken de microlieten werden onder andere gebruikt als pijlpunt als onderdeel van een groter gereedschap bijvoorbeeld door ze een houten schacht te zetten deze exemplaren zijn gevonden op tijdelijk bewoonde laatpaleolithische beginneolithische vindplaatsen de fayoem oase hoogte tussen en cm
9,prehistorisch egypte eeuwig egypte helaas nog niet verband brengen met menselijk dierlijk botmateriaal dit komt doordat dit materiaal niet bewaard gebleven doordat de oorspronkelijke archeologische vindplaatsen sites weggespoeld bedolven zijn door de nijl het moeilijk te zeggen hoeveel van deze vroegpaleoli thische vindplaatsen er zijn en hoe hun verspreiding door het landschap egypte kennen vindplaatsen bij luxor en bij nag ahmed el chalifa ca v chr soedan zijn vergelijkbare vondsten gedaan op enkele hogergelegen rots formaties op de vindplaats arkin noord soedan zijn werktuigen van lokaal vuursteen gevonden en zand stenen blokken die zo geplaatst waren dat ze misschien onderdeel waren van een gebouw de regio wadi halfa konden onderzoekers met de gevonden vuurstenen werktuigen ver schillende perioden onderscheiden ook ontdekte men hier de oudst bekende werktuigen met sporen van de zogeheten levallois techniek een speciale slagtechniek om vuurste nen te bewerken die zich pas later volledig heeft ontwikkeld bij deze techniek wordt een vuursteenknol aan de randen bewerkt waardoor een vorm ontstaat die op een schildpad lijkt van dit stuk kan daarna een grote scherf geslagen wor den deze afslag kling meteen bruikbaar als werktuig bijvoorbeeld als mes de westelijke woestijn zijn werktuigen gevonden de oases dachla en charga ca v chr en bij oude opgedroogde bronnen de mensachtigen die deze werktuigen gebruikten leefden een klimaat dat veel voch tiger en waar oases en bronnen talrijk waren middenpaleolithicum v chr aan het begin van het middenpaleolithicum werd het droger egypte bronnen de westelijke woestijn droog den op en de nijl ging langzamer stromen de groepen jagers deze hoekige stenen beitel gevonden de fayoem oase hij gemaakt van een grote vuursteen afslag en aan alle zijden bewerkt dergelijke werktuigen zijn regelmatig gevonden samen met bijlen tweezijdige messen pijlpunten en aardewerk de westelijke woestijn ze dateren uit de neolithische periode hoogte cm deze sikkels uit het neolithicum zijn aangetroffen de fayoem oase daar zijn enkele van de oudst beken de sporen van gedomesticeerde planten gevonden de sterk groeiende neolithische bevolking bedreef er land bouw en er werden gereedschappen gemaakt om de landbouwproducten te kunnen bewerken de gekartelde zaagkant van deze sikkels bijzonder net als de netjes afgewerkte afgeronde zijkanten hoogte en cm verzamelaars werden door deze verdroging gedwongen dichter bij waterbronnen zoals de nijl en de kustgebie den te verblijven tijdens het middenpaleolithicum waren er echter ook vochtige perioden waarin de groepen naar de tijdelijke oases trokken rond deze tijd gebruikten de mensen bifaciale gereedschappen en ook vaak gereedschap pen van levallois afslagen de meeste sites die kennen liggen de westelijke woestijn hier verzamelden de groe pen mensen verschillende soorten planten en jaagden ze op dieren van haas en wilde kat tot gazellen en giraffes ook de oostelijke woestijn aan de rode zeekust zijn grotten haardplaatsen aangetroffen deze streken zullen eveneens groepen mensen geleefd hebben uit de nijlvallei kennen echter voor deze periode alleen sporen van vuursteen winning op de nijlterrassen de sites waar bewoning plaats vond lagen waarschijnlijk dichter bij de rivier en zijn nu bedekt met dikke lagen door de nijl afgezet slib rond v chr verdroogde het klimaat weer waardoor de mensen opnieuw de nijlvallei gedwongen werden de daarop volgende taramsa fase v chr maakten de mensen op grote schaal vuursteenafslagen met de levallois techniek daarmee verkregen ze uit één kern meerdere langwerpige klingen met een duidelijke punt en een driehoekige doorsnede uit deze fase komt ook de oudst bekende begraving van een anatomisch moderne mens ca v chr die gevonden werd de omgeving van taramsa hill daar werden ook schachten gevonden die gemaakt waren door jagers verzamelaars om vuursteen te delven voor hun werktuigen soedan bij de site chor moesa zijn werktuigen gevonden samen met houtskool en botten van oerossen gazelles gevogelte en vissen verder naar het noorden de wadi koebbaniya zijn ook menselijke resten gevonden de ontwikkeling van de prehistori sche culturen de nijlvallei en de westelijke woestijn afhankelijk van het klimaat tijdens de klima logisch meest vochtige periode voor v chr menselijke aanwezigheid nog niet bewezen de eerste sporen van mensen die zijn aangetroffen dateren pas uit het einde van het vroegpaleolithicum de nijlvallei dit kan bewijs zijn dat de mensachtigen deze periode dicht bij de waterrand nijl en oases moesten blijven om te overleven ieder geval pasten ze deze strategie de daaropvolgende millennia steeds opnieuw toe tijdens het midden boven en laatpaleolithicum waren er door het verschuiven van de zuidelijke moessongrens en de noordelijke mediterrane grens afwisselend perio den met een droog en een vochtig klimaat zelfs binnen deze perioden traden temperatuurschommelingen op de klimaatveranderingen hadden het zuiden invloed op de stroming van de nijl maar brachten ook aan dieren en planten aanvankelijk liepen er egypte en soedan nog olifanten giraffes en struisvogels rond maar mettertijd kwamen deze dieren alleen nog verder naar het zuiden voor mens dier en plant pasten zich aan het klimaat aan en er ontstond een fragiel evenwicht met de directe omgeving na de laatste vochtige periode rond v chr verdroogde het klimaat en het tot op de dag van vandaag droog gebleven de groepen mensen leerden ondertussen hun omgeving te manipuleren door domesticatie van plant en dier zodat ze ondanks de droogte toch permanent de nijl vallei konden wonen regens die de westelijke woestijn veranderden een steppegebied als door moessonregens het zui den het waterpeil van de nijl steeg de overstromingsvlakte niet altijd bewoonbaar en schoven de mensen hun bewoning op naar de randen van de nijlvallei wadi de later helemaal drooggevallen seizoensgebonden waterbeddingen bevatten vochti gere perioden veel water waardoor grote groene bewoonbare gebieden ontstonden bijvoorbeeld wadi koebbaniya en wadi halfa ook zal de grondwaterstand veel gebieden hoger geweest zijn waardoor artesi sche bronnen maar ook playa sei zoensgebonden meertjes menselijke groepen een bestaan boden de klimaatverandering ook invloed op de verscheidenheid klimaat en klimaat verandering tijdens de droge perioden de egyptische prehistorie werd de savanneachtige westelijke woestijn een droge zandvlakte zoals hier bij sakkara overleven er vrijwel onmogelijk dieren trokken naar de oases naar de nijlvallei net als de mensen die waren voor hun voedsel immers afhankelijk van deze dieren ook vandaag de dag deze woestijn onherbergzaam en vijandig voor de mens maar er liggen wel vindplaatsen uit tijden dat het een groene savanne
